,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Decision Tree'],[0],[32000],[32000],[33000],[0.7146799316651592],['0.7146799316651592']
1,['Decision Tree'],[1000],[33000],[33000],[34000],[0.7148224098431568],['0.7147511707541581']
2,['Decision Tree'],[2000],[34000],[34000],[35000],[0.6629194119815963],['0.6974739178299708']
3,['Decision Tree'],[3000],[35000],[35000],[36000],[0.7037489270645696],['0.6990426701386205']
4,['Decision Tree'],[4000],[36000],[36000],[37000],[0.709463141025641],['0.7011267643160246']
5,['Decision Tree'],[5000],[37000],[37000],[38000],[0.7101611915935524],['0.7026325021956126']
6,['Decision Tree'],[6000],[38000],[38000],[39000],[0.698912652767793],['0.7021010951344955']
7,['Decision Tree'],[7000],[39000],[39000],[39644],[0.6731863477098157],['0.6984867517064105']
8,['KNN'],[0],[32000],[32000],[33000],[0.6328911667169128],['0.6328911667169128']
9,['KNN'],[1000],[33000],[33000],[34000],[0.6208225860715487],['0.6268568763942308']
10,['KNN'],[2000],[34000],[34000],[35000],[0.6093196428285161],['0.6210111318723259']
11,['KNN'],[3000],[35000],[35000],[36000],[0.6108438007503496],['0.6184692990918319']
12,['KNN'],[4000],[36000],[36000],[37000],[0.6274639423076923],['0.620268227735004']
13,['KNN'],[5000],[37000],[37000],[38000],[0.6188873019111746],['0.6200380734310325']
14,['KNN'],[6000],[38000],[38000],[39000],[0.6294707045291157],['0.62138559215933']
15,['KNN'],[7000],[39000],[39000],[39644],[0.5908753745400599],['0.6175718149569213']
16,['Random Forest'],[0],[32000],[32000],[33000],[0.7734780424077983],['0.7734780424077983']
17,['Random Forest'],[1000],[33000],[33000],[34000],[0.7573094730771079],['0.7653937577424531']
18,['Random Forest'],[2000],[34000],[34000],[35000],[0.6886291861042979],['0.7398055671964014']
19,['Random Forest'],[3000],[35000],[35000],[36000],[0.7307445869651946],['0.7375403221385998']
20,['Random Forest'],[4000],[36000],[36000],[37000],[0.7396554487179487],['0.7379633474544696']
21,['Random Forest'],[5000],[37000],[37000],[38000],[0.7368044136650783],['0.7377701918229044']
22,['Random Forest'],[6000],[38000],[38000],[39000],[0.7289025227109339],['0.7365033819497657']
23,['Random Forest'],[7000],[39000],[39000],[39644],[0.7145687543310008],['0.7337615534974201']
24,['XGBoost'],[0],[32000],[32000],[33000],[0.7935684855793388],['0.7935684855793388']
25,['XGBoost'],[1000],[33000],[33000],[34000],[0.769365097165927],['0.781466791372633']
26,['XGBoost'],[2000],[34000],[34000],[35000],[0.6911941518780358],['0.7513759115411006']
27,['XGBoost'],[3000],[35000],[35000],[36000],[0.7331342609943139],['0.7468154989044039']
28,['XGBoost'],[4000],[36000],[36000],[37000],[0.7482371794871795],['0.747099835020959']
29,['XGBoost'],[5000],[37000],[37000],[38000],[0.7470024124728447],['0.7470835979296067']
30,['XGBoost'],[6000],[38000],[38000],[39000],[0.7288575910071237],['0.7444798826549662']
31,['XGBoost'],[7000],[39000],[39000],[39644],[0.7377389980382397],['0.7436372720778754']
