,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['KNN'],[0],[5000],[5000],[6000],[0.525779243428354],['0.525779243428354']
1,['KNN'],[1000],[6000],[6000],[7000],[0.540462572747341],['0.5331209080878475']
2,['KNN'],[2000],[7000],[7000],[8000],[0.552791104317799],['0.539677640164498']
3,['KNN'],[3000],[8000],[8000],[9000],[0.5902059167990246],['0.5523097093231297']
4,['KNN'],[4000],[9000],[9000],[10000],[0.5849708020065297],['0.5588419278598098']
5,['KNN'],[5000],[10000],[10000],[11000],[0.5596482273640547],['0.5589763111105173']
6,['KNN'],[6000],[11000],[11000],[12000],[0.5981265480565313],['0.564569202102805']
7,['KNN'],[7000],[12000],[12000],[13000],[0.6031114080962232],['0.5693869778519822']
8,['KNN'],[8000],[13000],[13000],[14000],[0.563245718134582],['0.56870461566116']
9,['KNN'],[9000],[14000],[14000],[15000],[0.5646424642464246],['0.5682984005196865']
10,['KNN'],[10000],[15000],[15000],[16000],[0.58182461899934],['0.5695280567451095']
11,['KNN'],[11000],[16000],[16000],[17000],[0.5598767676767678],['0.568723782656081']
12,['KNN'],[12000],[17000],[17000],[18000],[0.5600754472169828],['0.5680585260838427']
13,['KNN'],[13000],[18000],[18000],[19000],[0.6123610006702778],['0.5712229885543023']
14,['KNN'],[14000],[19000],[19000],[20000],[0.5744805194805195],['0.5714401572827169']
15,['KNN'],[15000],[20000],[20000],[21000],[0.5882480590249313],['0.5724906511416052']
16,['KNN'],[16000],[21000],[21000],[22000],[0.5359981319342474],['0.5703440323647019']
17,['KNN'],[17000],[22000],[22000],[23000],[0.5666246118012422],['0.5701373978889541']
18,['KNN'],[18000],[23000],[23000],[24000],[0.5968922111848783],['0.5715455459571606']
19,['KNN'],[19000],[24000],[24000],[25000],[0.5595375556865827],['0.5709451464436317']
20,['KNN'],[20000],[25000],[25000],[26000],[0.5917273462783172],['0.5719347750071881']
21,['KNN'],[21000],[26000],[26000],[27000],[0.5799976704581967],['0.5723012702549611']
22,['KNN'],[22000],[27000],[27000],[28000],[0.5987866479195958],['0.5734528084142931']
23,['KNN'],[23000],[28000],[28000],[29000],[0.6087256336850232],['0.5749225094672402']
24,['KNN'],[24000],[29000],[29000],[30000],[0.5882028106334686],['0.5754537215138893']
25,['KNN'],[25000],[30000],[30000],[31000],[0.5761025381566743],['0.5754786760001502']
26,['KNN'],[26000],[31000],[31000],[32000],[0.6302200835213364],['0.577506135537972']
27,['KNN'],[27000],[32000],[32000],[33000],[0.6133634810571803],['0.5787867550208008']
28,['KNN'],[28000],[33000],[33000],[34000],[0.6351511558980438],['0.5807303550510505']
29,['KNN'],[29000],[34000],[34000],[35000],[0.5964226742974398],['0.5812534323592635']
30,['KNN'],[30000],[35000],[35000],[36000],[0.6169368650539389],['0.5824045108332854']
31,['KNN'],[31000],[36000],[36000],[37000],[0.5972816506410257],['0.5828694214522773']
32,['KNN'],[32000],[37000],[37000],[38000],[0.6057907349840569],['0.5835640067108161']
33,['KNN'],[33000],[38000],[38000],[39000],[0.5984617018495523],['0.5840021742148965']
34,['KNN'],[34000],[39000],[39000],[39644],[0.5582867293258768],['0.5832674472180673']
35,['KNN'],[0],[7500],[7500],[8500],[0.5857119254002604],['0.5857119254002604']
36,['KNN'],[1000],[8500],[8500],[9500],[0.6182969793271701],['0.6020044523637152']
37,['KNN'],[2000],[9500],[9500],[10500],[0.5270863627291649],['0.5770317558188651']
38,['KNN'],[3000],[10500],[10500],[11500],[0.5800085956632447],['0.57777596577996']
39,['KNN'],[4000],[11500],[11500],[12500],[0.6006207004190028],['0.5823449127077687']
40,['KNN'],[5000],[12500],[12500],[13500],[0.5914477135568718],['0.5838620461826192']
41,['KNN'],[6000],[13500],[13500],[14500],[0.5513011301130113],['0.5792104867441037']
42,['KNN'],[7000],[14500],[14500],[15500],[0.5823334240522541],['0.5796008539076225']
43,['KNN'],[8000],[15500],[15500],[16500],[0.5791030303030303],['0.5795455401737789']
44,['KNN'],[9000],[16500],[16500],[17500],[0.5842433164006098],['0.580015317796462']
45,['KNN'],[10000],[17500],[17500],[18500],[0.557525953322801],['0.5779708301170383']
46,['KNN'],[11000],[18500],[18500],[19500],[0.6192470846436059],['0.5814105179942523']
47,['KNN'],[12000],[19500],[19500],[20500],[0.5818342535206731],['0.5814431130347462']
48,['KNN'],[13000],[20500],[20500],[21500],[0.5755994639751376],['0.5810257095304884']
49,['KNN'],[14000],[21500],[21500],[22500],[0.5630290111905617],['0.57982592964116']
50,['KNN'],[15000],[22500],[22500],[23500],[0.5860968961134524],['0.5802178650456783']
51,['KNN'],[16000],[23500],[23500],[24500],[0.5768316631237981],['0.5800186766973324']
52,['KNN'],[17000],[24500],[24500],[25500],[0.5898115720416316],['0.5805627264386823']
53,['KNN'],[18000],[25500],[25500],[26500],[0.5732114779874214],['0.5801758186254581']
54,['KNN'],[19000],[26500],[26500],[27500],[0.6005239017674179],['0.581193222782556']
55,['KNN'],[20000],[27500],[27500],[28500],[0.6011981352541979],['0.582145837662158']
56,['KNN'],[21000],[28500],[28500],[29500],[0.5951088166818503],['0.5827350639812349']
57,['KNN'],[22000],[29500],[29500],[30500],[0.5821074890857729],['0.5827077781162149']
58,['KNN'],[23000],[30500],[30500],[31500],[0.605833360248046],['0.5836713440383744']
59,['KNN'],[24000],[31500],[31500],[32500],[0.6296957447838506],['0.5855123200681934']
60,['KNN'],[25000],[32500],[32500],[33500],[0.6396078431372549],['0.5875929171093113']
61,['KNN'],[26000],[33500],[33500],[34500],[0.6292765171060685],['0.5891367541462282']
62,['KNN'],[27000],[34500],[34500],[35500],[0.590107120352867],['0.5891714100821795']
63,['KNN'],[28000],[35500],[35500],[36500],[0.5819510387847889],['0.58892243176158']
64,['KNN'],[29000],[36500],[36500],[37500],[0.6371857927874525],['0.5905312104624424']
65,['KNN'],[30000],[37500],[37500],[38500],[0.6137494927905958],['0.5912801873117377']
66,['KNN'],[31000],[38500],[38500],[39500],[0.5843357808675729],['0.5910631746103575']
67,['KNN'],[32000],[39500],[39500],[39644],[0.5551522484371849],['0.5899749647263219']
68,['KNN'],[0],[10000],[10000],[11000],[0.5593423909521033],['0.5593423909521033']
69,['KNN'],[1000],[11000],[11000],[12000],[0.5964105324505028],['0.577876461701303']
70,['KNN'],[2000],[12000],[12000],[13000],[0.6025412233563675],['0.5860980489196579']
71,['KNN'],[3000],[13000],[13000],[14000],[0.5650438610558727],['0.5808345019537116']
72,['KNN'],[4000],[14000],[14000],[15000],[0.5654705470547055],['0.5777617109739104']
73,['KNN'],[5000],[15000],[15000],[16000],[0.5911082412011779],['0.5799861326784549']
74,['KNN'],[6000],[16000],[16000],[17000],[0.5688262626262626],['0.5783918655281417']
75,['KNN'],[7000],[17000],[17000],[18000],[0.566170493090012],['0.5768641939733755']
76,['KNN'],[8000],[18000],[18000],[19000],[0.6055541446883627],['0.5800519662750407']
77,['KNN'],[9000],[19000],[19000],[20000],[0.5886972402597401],['0.5809164936735106']
78,['KNN'],[10000],[20000],[20000],[21000],[0.5776651235312084],['0.5806209145696649']
79,['KNN'],[11000],[21000],[21000],[22000],[0.5506586614719853],['0.5781240601448583']
80,['KNN'],[12000],[22000],[22000],[23000],[0.5953776041666666],['0.5794512558388436']
81,['KNN'],[13000],[23000],[23000],[24000],[0.5739384182765104],['0.5790574817272484']
82,['KNN'],[14000],[24000],[24000],[25000],[0.5952179147012578],['0.5801348439255157']
83,['KNN'],[15000],[25000],[25000],[26000],[0.5749971104946834],['0.5798137355860887']
84,['KNN'],[16000],[26000],[26000],[27000],[0.6021644656513077],['0.5811284844134545']
85,['KNN'],[17000],[27000],[27000],[28000],[0.5936872844387295],['0.5818261955259698']
86,['KNN'],[18000],[28000],[28000],[29000],[0.6299979091610911],['0.5843615488751868']
87,['KNN'],[19000],[29000],[29000],[30000],[0.5731731085476228],['0.5838021268588085']
88,['KNN'],[20000],[30000],[30000],[31000],[0.5945113014427458],['0.5843120875532817']
89,['KNN'],[21000],[31000],[31000],[32000],[0.6295120721931551],['0.5863666323096396']
90,['KNN'],[22000],[32000],[32000],[33000],[0.6297537935885841],['0.5882530306261154']
91,['KNN'],[23000],[33000],[33000],[34000],[0.6161805700187443],['0.5894166781008083']
92,['KNN'],[24000],[34000],[34000],[35000],[0.6072396158963753],['0.590129595612631']
93,['KNN'],[25000],[35000],[35000],[36000],[0.621240696189014],['0.5913261764040304']
94,['KNN'],[26000],[36000],[36000],[37000],[0.6083273237179487],['0.5919558485267681']
95,['KNN'],[27000],[37000],[37000],[38000],[0.6192793787582366],['0.5929316888921777']
96,['KNN'],[28000],[38000],[38000],[39000],[0.6041414776811972],['0.5933182333331783']
97,['KNN'],[29000],[39000],[39000],[39644],[0.551879288300686],['0.5919369351654286']
98,['KNN'],[0],[12500],[12500],[13500],[0.5920023547220588],['0.5920023547220588']
99,['KNN'],[1000],[13500],[13500],[14500],[0.5515651565156516],['0.5717837556188552']
100,['KNN'],[2000],[14500],[14500],[15500],[0.5824815093493853],['0.5753496735290319']
101,['KNN'],[3000],[15500],[15500],[16500],[0.5807414141414142],['0.5766976086821275']
102,['KNN'],[4000],[16500],[16500],[17500],[0.58525686660151],['0.5784094602660039']
103,['KNN'],[5000],[17500],[17500],[18500],[0.5655538273751933],['0.5762668547842021']
104,['KNN'],[6000],[18500],[18500],[19500],[0.6069755634171907],['0.5806538131603434']
105,['KNN'],[7000],[19500],[19500],[20500],[0.5771507617218175],['0.5802159317305277']
106,['KNN'],[8000],[20500],[20500],[21500],[0.5845461099502669],['0.580697062643832']
107,['KNN'],[9000],[21500],[21500],[22500],[0.5696219002887486],['0.5795895464083237']
108,['KNN'],[10000],[22500],[22500],[23500],[0.5762843668472807],['0.579289075539138']
109,['KNN'],[11000],[23500],[23500],[24500],[0.5902621722846441],['0.5802035002679302']
110,['KNN'],[12000],[24500],[24500],[25500],[0.5927896709909732],['0.5811716672466258']
111,['KNN'],[13000],[25500],[25500],[26500],[0.572034280005241],['0.580518996729384']
112,['KNN'],[14000],[26500],[26500],[27500],[0.6051685771004099],['0.5821623020874523']
113,['KNN'],[15000],[27500],[27500],[28500],[0.5978831206833661],['0.583144853249697']
114,['KNN'],[16000],[28500],[28500],[29500],[0.5987589837028039],['0.5840633315116445']
115,['KNN'],[17000],[29500],[29500],[30500],[0.5893622399845917],['0.5843577153156971']
116,['KNN'],[18000],[30500],[30500],[31500],[0.6173111394612752],['0.5860921060602012']
117,['KNN'],[19000],[31500],[31500],[32500],[0.6225835471430186],['0.5879166781143421']
118,['KNN'],[20000],[32500],[32500],[33500],[0.6471388555422168],['0.5907367818013838']
119,['KNN'],[21000],[33500],[33500],[34500],[0.6188904755619022],['0.5920164951541346']
120,['KNN'],[22000],[34500],[34500],[35500],[0.6043149153753227],['0.5925512090767949']
121,['KNN'],[23000],[35500],[35500],[36500],[0.593845013873284],['0.592605117609982']
122,['KNN'],[24000],[36500],[36500],[37500],[0.6393626139476761],['0.5944754174634899']
123,['KNN'],[25000],[37500],[37500],[38500],[0.6184901430631832],['0.5953990607557857']
124,['KNN'],[26000],[38500],[38500],[39500],[0.5906909577429809],['0.5952246865701263']
125,['KNN'],[27000],[39500],[39500],[39644],[0.5292397660818714],['0.5928680822669744']
126,['KNN'],[0],[15000],[15000],[16000],[0.5911082412011779],['0.5911082412011779']
127,['KNN'],[1000],[16000],[16000],[17000],[0.5691919191919191],['0.5801500801965485']
128,['KNN'],[2000],[17000],[17000],[18000],[0.5664828541794314],['0.5755943381908427']
129,['KNN'],[3000],[18000],[18000],[19000],[0.6054604723583362],['0.5830608717327161']
130,['KNN'],[4000],[19000],[19000],[20000],[0.5887155032467531],['0.5841917980355236']
131,['KNN'],[5000],[20000],[20000],[21000],[0.569736461397502],['0.58178257526252']
132,['KNN'],[6000],[21000],[21000],[22000],[0.537763117481982],['0.5754940812938718']
133,['KNN'],[7000],[22000],[22000],[23000],[0.5992858760351967],['0.5784680556365374']
134,['KNN'],[8000],[23000],[23000],[24000],[0.5785849182182731],['0.5784810403678413']
135,['KNN'],[9000],[24000],[24000],[25000],[0.5993411785901467],['0.5805670541900719']
136,['KNN'],[10000],[25000],[25000],[26000],[0.5609045802787134],['0.5787795565617665']
137,['KNN'],[11000],[26000],[26000],[27000],[0.6070404376325427],['0.5811346299843313']
138,['KNN'],[12000],[27000],[27000],[28000],[0.6035234879165516],['0.5828568498252713']
139,['KNN'],[13000],[28000],[28000],[29000],[0.6096745528821411],['0.5847724000436191']
140,['KNN'],[14000],[29000],[29000],[30000],[0.5685726351008409],['0.5836924157141006']
141,['KNN'],[15000],[30000],[30000],[31000],[0.5909496103020009],['0.5841459903758444']
142,['KNN'],[16000],[31000],[31000],[32000],[0.6445963135410165],['0.5877018917385016']
143,['KNN'],[17000],[32000],[32000],[33000],[0.626558134860818],['0.5898605719119636']
144,['KNN'],[18000],[33000],[33000],[34000],[0.6201637321969272],['0.5914554750848564']
145,['KNN'],[19000],[34000],[34000],[35000],[0.6065402619471296],['0.5922097144279701']
146,['KNN'],[20000],[35000],[35000],[36000],[0.6131367594730627],['0.5932062403824984']
147,['KNN'],[21000],[36000],[36000],[37000],[0.6260797275641027],['0.5947004897998439']
148,['KNN'],[22000],[37000],[37000],[38000],[0.6047465303199427],['0.5951372741702831']
149,['KNN'],[23000],[38000],[38000],[39000],[0.611312169139272],['0.5958112281273242']
150,['KNN'],[24000],[39000],[39000],[39644],[0.5802662528426005],['0.5951894291159353']
151,['KNN'],[0],[17500],[17500],[18500],[0.5653109295841344],['0.5653109295841344']
152,['KNN'],[1000],[18500],[18500],[19500],[0.606142311975891],['0.5857266207800127']
153,['KNN'],[2000],[19500],[19500],[20500],[0.5767520809925941],['0.5827351075175399']
154,['KNN'],[3000],[20500],[20500],[21500],[0.5850898737734765],['0.583323799081524']
155,['KNN'],[4000],[21500],[21500],[22500],[0.5681285861227119],['0.5802847564897615']
156,['KNN'],[5000],[22500],[22500],[23500],[0.5775449026690749],['0.5798281141863137']
157,['KNN'],[6000],[23500],[23500],[24500],[0.5881121571009211],['0.5810115488884006']
158,['KNN'],[7000],[24500],[24500],[25500],[0.5889956263667604],['0.5820095585731955']
159,['KNN'],[8000],[25500],[25500],[26500],[0.5842157199947589],['0.5822546876200358']
160,['KNN'],[9000],[26500],[26500],[27500],[0.616182921362705],['0.5856475109943029']
161,['KNN'],[10000],[27500],[27500],[28500],[0.5971956660293181],['0.5866973432702133']
162,['KNN'],[11000],[28500],[28500],[29500],[0.5975969227654621],['0.587605641561484']
163,['KNN'],[12000],[29500],[29500],[30500],[0.5844628755778121],['0.5873638903319708']
164,['KNN'],[13000],[30500],[30500],[31500],[0.6222869969640205],['0.5898583979485458']
165,['KNN'],[14000],[31500],[31500],[32500],[0.6157497055074147],['0.5915844851191371']
166,['KNN'],[15000],[32500],[32500],[33500],[0.640076030412165],['0.5946152066999514']
167,['KNN'],[16000],[33500],[33500],[34500],[0.6194024776099105],['0.5960732814593607']
168,['KNN'],[17000],[34500],[34500],[35500],[0.6067751917450303],['0.5966678320307868']
169,['KNN'],[18000],[35500],[35500],[36500],[0.5919240976324808],['0.596418161799297']
170,['KNN'],[19000],[36500],[36500],[37500],[0.6218218811579806],['0.5976883477672311']
171,['KNN'],[20000],[37500],[37500],[38500],[0.6127471264829598],['0.5984054324679802']
172,['KNN'],[21000],[38500],[38500],[39500],[0.5933948621809894],['0.5981776792731169']
173,['KNN'],[22000],[39500],[39500],[39644],[0.5671506352087115],['0.5968286773572732']
174,['KNN'],[0],[20000],[20000],[21000],[0.5702247191011236],['0.5702247191011236']
175,['KNN'],[1000],[21000],[21000],[22000],[0.5401697247127428],['0.5551972219069332']
176,['KNN'],[2000],[22000],[22000],[23000],[0.5994961503623187],['0.5699635313920618']
177,['KNN'],[3000],[23000],[23000],[24000],[0.5771248273681758],['0.5717538553860902']
178,['KNN'],[4000],[24000],[24000],[25000],[0.5990463672693921],['0.5772123577627506']
179,['KNN'],[5000],[25000],[25000],[26000],[0.5600913909253021],['0.5743588632898425']
