,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Decision Tree'],[1],[5000],[5000],[6000],[0.5861301238001622],['0.5861301238001622']
1,['Decision Tree'],[1],[6000],[6000],[7000],[0.6512413037661381],['0.6186857137831501']
2,['Decision Tree'],[1],[7000],[7000],[8000],[0.6388489870718113],['0.6254068048793705']
3,['Decision Tree'],[1],[8000],[8000],[9000],[0.6668391330156743],['0.6357648869134465']
4,['Decision Tree'],[1],[9000],[9000],[10000],[0.6538574847351195],['0.639383406477781']
5,['Decision Tree'],[1],[10000],[10000],[11000],[0.6220753127227947],['0.6364987241852833']
6,['Decision Tree'],[1],[11000],[11000],[12000],[0.6813816353952502],['0.64291056864385']
7,['Decision Tree'],[1],[12000],[12000],[13000],[0.6549542051624726],['0.6444160232086779']
8,['Decision Tree'],[1],[13000],[13000],[14000],[0.6063430143049586],['0.6401856888860424']
9,['Decision Tree'],[1],[14000],[14000],[15000],[0.6613361336133614],['0.6423007333587744']
10,['Decision Tree'],[1],[15000],[15000],[16000],[0.6659907626450376],['0.6444543723847983']
11,['Decision Tree'],[1],[16000],[16000],[17000],[0.6319252525252526],['0.6434102790631694']
12,['Decision Tree'],[1],[17000],[17000],[18000],[0.6575441210038805],['0.6444974976739933']
13,['Decision Tree'],[1],[18000],[18000],[19000],[0.6456708812276488],['0.6445813107849687']
14,['Decision Tree'],[1],[19000],[19000],[20000],[0.6787317370129871],['0.6468580058668365']
15,['Decision Tree'],[1],[20000],[20000],[21000],[0.6336098117696228],['0.6460299937357606']
16,['Decision Tree'],[1],[21000],[21000],[22000],[0.6541932606582828],['0.6465101859076737']
17,['Decision Tree'],[1],[22000],[22000],[23000],[0.6914871247412008],['0.6490089047317587']
18,['Decision Tree'],[1],[23000],[23000],[24000],[0.6601607347876004],['0.6495958431557503']
19,['Decision Tree'],[1],[24000],[24000],[25000],[0.6867650189989517],['0.6514543019479103']
20,['Decision Tree'],[1],[25000],[25000],[26000],[0.6831492305660127],['0.6529635842630581']
21,['Decision Tree'],[1],[26000],[26000],[27000],[0.7174305957200694],['0.6558939029656495']
22,['Decision Tree'],[1],[27000],[27000],[28000],[0.7272461434311146],['0.6589961742902349']
23,['Decision Tree'],[1],[28000],[28000],[29000],[0.7264499163664436],['0.6618067468767436']
24,['Decision Tree'],[1],[29000],[29000],[30000],[0.672201040283581],['0.6622225186130172']
25,['Decision Tree'],[1],[30000],[30000],[31000],[0.673406574873815],['0.6626526746230479']
26,['Decision Tree'],[1],[31000],[31000],[32000],[0.7134514152226437],['0.66453410946007']
27,['Decision Tree'],[1],[32000],[32000],[33000],[0.7146799316651592],['0.6663250316816802']
28,['Decision Tree'],[1],[33000],[33000],[34000],[0.7245950752174819],['0.6683343435277425']
29,['Decision Tree'],[1],[34000],[34000],[35000],[0.6575249683387038],['0.667974031021441']
30,['Decision Tree'],[1],[35000],[35000],[36000],[0.7010771667250989],['0.6690418741086559']
31,['Decision Tree'],[1],[36000],[36000],[37000],[0.6982952724358974],['0.6699560428063821']
32,['Decision Tree'],[1],[37000],[37000],[38000],[0.7055142807990367],['0.6710335651697958']
33,['Decision Tree'],[1],[38000],[38000],[39000],[0.6928264492516829],['0.6716745323486749']
34,['Decision Tree'],[1],[39000],[39000],[39644],[0.7059116329458611],['0.6726527352228802']
