,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['XGBoost'],[1],[5000],[5000],[6000],[0.649636028429192],['0.649636028429192']
1,['XGBoost'],[1],[6000],[6000],[7000],[0.6678582179409994],['0.6587471231850957']
2,['XGBoost'],[1],[7000],[7000],[8000],[0.6865744501218395],['0.668022898830677']
3,['XGBoost'],[1],[8000],[8000],[9000],[0.7166377885803212],['0.680176621268088']
4,['XGBoost'],[1],[9000],[9000],[10000],[0.7187024548914206],['0.6878817879927545']
5,['XGBoost'],[1],[10000],[10000],[11000],[0.7009851578196902],['0.6900656829639105']
6,['XGBoost'],[1],[11000],[11000],[12000],[0.7451190688187013],['0.6979304523717378']
7,['XGBoost'],[1],[12000],[12000],[13000],[0.7300765448005153],['0.701948713925335']
8,['XGBoost'],[1],[13000],[13000],[14000],[0.6849300789017897],['0.7000577544782743']
9,['XGBoost'],[1],[14000],[14000],[15000],[0.7347934793479348],['0.7035313269652403']
10,['XGBoost'],[1],[15000],[15000],[16000],[0.7248185519560983],['0.7054665292371366']
11,['XGBoost'],[1],[16000],[16000],[17000],[0.7109939393939394],['0.7059271467502035']
12,['XGBoost'],[1],[17000],[17000],[18000],[0.701002358726688],['0.7055483169022408']
13,['XGBoost'],[1],[18000],[18000],[19000],[0.7177173926619179],['0.7064175365993606']
14,['XGBoost'],[1],[19000],[19000],[20000],[0.7458847402597403],['0.7090486835100526']
15,['XGBoost'],[1],[20000],[20000],[21000],[0.6739644114384916],['0.70685591650558']
16,['XGBoost'],[1],[21000],[21000],[22000],[0.6998262362261705],['0.7064424059009089']
17,['XGBoost'],[1],[22000],[22000],[23000],[0.7614720820393375],['0.7094996101308215']
18,['XGBoost'],[1],[23000],[23000],[24000],[0.729870713323017],['0.7105717734567265']
19,['XGBoost'],[1],[24000],[24000],[25000],[0.7387439399895178],['0.7119803817833661']
20,['XGBoost'],[1],[25000],[25000],[26000],[0.726087279572023],['0.7126521388209213']
21,['XGBoost'],[1],[26000],[26000],[27000],[0.7586032388663968],['0.7147408251866246']
22,['XGBoost'],[1],[27000],[27000],[28000],[0.7750952375229831],['0.7173649300708141']
23,['XGBoost'],[1],[28000],[28000],[29000],[0.7684235074626865],['0.7194923707954755']
24,['XGBoost'],[1],[29000],[29000],[30000],[0.7233381652516049],['0.7196462025737206']
25,['XGBoost'],[1],[30000],[30000],[31000],[0.7318090740807663],['0.7201140053239915']
26,['XGBoost'],[1],[31000],[31000],[32000],[0.7628682058912943],['0.7216974942338916']
27,['XGBoost'],[1],[32000],[32000],[33000],[0.7959320671289318],['0.724348728980143']
28,['XGBoost'],[1],[33000],[33000],[34000],[0.7751365770037969],['0.7261000340844069']
29,['XGBoost'],[1],[34000],[34000],[35000],[0.6884869106590359],['0.7248462633035613']
30,['XGBoost'],[1],[35000],[35000],[36000],[0.7332551551273218],['0.7251175178785212']
31,['XGBoost'],[1],[36000],[36000],[37000],[0.7494711538461538],['0.7258785690025098']
32,['XGBoost'],[1],[37000],[37000],[38000],[0.745062032158303],['0.7264598860678368']
33,['XGBoost'],[1],[38000],[38000],[39000],[0.7307283837657669],['0.726585430117776']
34,['XGBoost'],[1],[39000],[39000],[39644],[0.7301457168233147],['0.7266871525950771']
