,Algorithm,Train Start,Train End,Test Start,Test End,AUC,Avg AUC
0,['Random Forest'],[1],[5000],[5000],[6000],[0.6722625125136461],['0.6722625125136461']
1,['Random Forest'],[1],[6000],[6000],[7000],[0.681972874439762],['0.677117693476704']
2,['Random Forest'],[1],[7000],[7000],[8000],[0.7019634361533137],['0.6853996077022405']
3,['Random Forest'],[1],[8000],[8000],[9000],[0.7350435577802377],['0.6978105952217398']
4,['Random Forest'],[1],[9000],[9000],[10000],[0.714731366353096],['0.7011947494480111']
5,['Random Forest'],[1],[10000],[10000],[11000],[0.6918262687147578],['0.6996333359924689']
6,['Random Forest'],[1],[11000],[11000],[12000],[0.7499433391073482],['0.7068204792945946']
7,['Random Forest'],[1],[12000],[12000],[13000],[0.7238145159031528],['0.7089447338706644']
8,['Random Forest'],[1],[13000],[13000],[14000],[0.6911884983000834],['0.7069718188072664']
9,['Random Forest'],[1],[14000],[14000],[15000],[0.7142234223422341],['0.7076969791607632']
10,['Random Forest'],[1],[15000],[15000],[16000],[0.7089026215420269],['0.7078065830136054']
11,['Random Forest'],[1],[16000],[16000],[17000],[0.7196],['0.7087893677624716']
12,['Random Forest'],[1],[17000],[17000],[18000],[0.7060081454161009],['0.7085754275819816']
13,['Random Forest'],[1],[18000],[18000],[19000],[0.7211978401242303],['0.7094770284778564']
14,['Random Forest'],[1],[19000],[19000],[20000],[0.7337175324675325],['0.7110930620771682']
15,['Random Forest'],[1],[20000],[20000],[21000],[0.6766568613267749],['0.7089407995302686']
16,['Random Forest'],[1000],[21000],[21000],[22000],[0.6823404676054678],['0.7073760741229274']
17,['Random Forest'],[2000],[22000],[22000],[23000],[0.7386775362318841],['0.7091150442400916']
18,['Random Forest'],[3000],[23000],[23000],[24000],[0.7189845088936586],['0.7096344897481741']
19,['Random Forest'],[4000],[24000],[24000],[25000],[0.7203018540356394],['0.7101678579625473']
20,['Random Forest'],[5000],[25000],[25000],[26000],[0.7164693547321841],['0.710467929237292']
21,['Random Forest'],[6000],[26000],[26000],[27000],[0.7601174410384935],['0.7127247252282557']
22,['Random Forest'],[7000],[27000],[27000],[28000],[0.7585633654997816],['0.7147177095878873']
23,['Random Forest'],[8000],[28000],[28000],[29000],[0.7576396037056099],['0.7165061218427923']
24,['Random Forest'],[9000],[29000],[29000],[30000],[0.709289058344398],['0.7162174393028566']
25,['Random Forest'],[10000],[30000],[30000],[31000],[0.7186946622818113],['0.7163127171097395']
26,['Random Forest'],[11000],[31000],[31000],[32000],[0.7567321077137235],['0.7178097315765538']
27,['Random Forest'],[12000],[32000],[32000],[33000],[0.7767098784041805],['0.7199133082489689']
28,['Random Forest'],[13000],[33000],[33000],[34000],[0.7593040580592448],['0.7212716099665648']
29,['Random Forest'],[14000],[34000],[34000],[35000],[0.6897353275942224],['0.7202204005541533']
30,['Random Forest'],[15000],[35000],[35000],[36000],[0.7307163783341594],['0.7205589804825405']
31,['Random Forest'],[16000],[36000],[36000],[37000],[0.7385096153846155],['0.7211199378232304']
32,['Random Forest'],[17000],[37000],[37000],[38000],[0.7390448527911471],['0.7216631170646823']
33,['Random Forest'],[18000],[38000],[38000],[39000],[0.7299727142016862],['0.7219075169804766']
34,['Random Forest'],[19000],[39000],[39000],[39644],[0.7132121141139383],['0.7216590768985756']
