,Algorithm,Start,End,AUC,Avg AUC
0,['Decision Tree'],[0],[10000],[0.6220753127227947],['0.6220753127227947']
1,['Decision Tree'],[1000],[11000],[0.6854288420132425],['0.6537520773680185']
2,['Decision Tree'],[2000],[12000],[0.6444828124312277],['0.6506623223890883']
3,['Decision Tree'],[3000],[13000],[0.610225960613253],['0.6405532319451295']
4,['Decision Tree'],[4000],[14000],[0.6600280028002801],['0.6444481861161596']
5,['Decision Tree'],[5000],[15000],[0.6675980463155184],['0.6483064961493861']
6,['Decision Tree'],[6000],[16000],[0.6724020202020202],['0.6517487138711909']
7,['Decision Tree'],[7000],[17000],[0.6447473279110653],['0.6508735406261752']
8,['Decision Tree'],[8000],[18000],[0.6457250030183307],['0.6503014808919703']
9,['Decision Tree'],[9000],[19000],[0.6603125000000001],['0.6513025828027732']
10,['Decision Tree'],[10000],[20000],[0.6121686679204641],['0.6477449541771088']
11,['Decision Tree'],[11000],[21000],[0.6382915613074778],['0.6469571714379728']
12,['Decision Tree'],[12000],[22000],[0.6944006372929606],['0.6506066688114335']
13,['Decision Tree'],[13000],[23000],[0.6516268989500658],['0.6506795423927644']
14,['Decision Tree'],[14000],[24000],[0.6626273421121593],['0.6514760623740573']
15,['Decision Tree'],[15000],[25000],[0.6791493296347665],['0.6532056415778517']
16,['Decision Tree'],[16000],[26000],[0.7189628719233981],['0.6570737139511191']
17,['Decision Tree'],[17000],[27000],[0.7086893474176711],['0.6599412491437053']
18,['Decision Tree'],[18000],[28000],[0.7264217704580544],['0.6634402239497238']
19,['Decision Tree'],[19000],[29000],[0.6495458402868292],['0.662745504766579']
20,['Decision Tree'],[20000],[30000],[0.6873019888451206],['0.6639148611512715']
21,['Decision Tree'],[21000],[31000],[0.7100833613337815],['0.6660134293413855']
22,['Decision Tree'],[22000],[32000],[0.6948829263390613],['0.6672686248630236']
23,['Decision Tree'],[23000],[33000],[0.6969512488184687],['0.6685054008611672']
24,['Decision Tree'],[24000],[34000],[0.6440729251831545],['0.6675281018340468']
25,['Decision Tree'],[25000],[35000],[0.6676459091440293],['0.6675326328844307']
26,['Decision Tree'],[26000],[36000],[0.7105729166666667],['0.6691267174689579']
27,['Decision Tree'],[27000],[37000],[0.6805593896403697],['0.6695350271893654']
28,['Decision Tree'],[28000],[38000],[0.6778458107313249],['0.6698216059321915']
29,['Decision Tree'],[29000],[39644],[0.6698581871773098],['0.669822825307029']
