,Algorithm,Start,End,AUC,Avg AUC
0,['Decision Tree'],[0],[10000],[0.6418144549043426],['0.6418144549043426']
1,['Decision Tree'],[2000],[12000],[0.6451761646370432],['0.6434953097706929']
2,['Decision Tree'],[4000],[14000],[0.6599501857522844],['0.6489802684312234']
3,['Decision Tree'],[6000],[16000],[0.655186130539994],['0.650531733958416']
4,['Decision Tree'],[8000],[18000],[0.6481391047060743],['0.6500532081079478']
5,['Decision Tree'],[10000],[20000],[0.613053959498455],['0.6438866666730322']
6,['Decision Tree'],[12000],[22000],[0.6757918158567776],['0.648444545127853']
7,['Decision Tree'],[14000],[24000],[0.6756631356977261],['0.6518468689490872']
8,['Decision Tree'],[16000],[26000],[0.7205431326881219],['0.6594797871423133']
9,['Decision Tree'],[18000],[28000],[0.6886449604327114],['0.662396304471353']
10,['Decision Tree'],[20000],[30000],[0.692219156310457],['0.6651074728203624']
11,['Decision Tree'],[22000],[32000],[0.6853910780215482],['0.6667977732537946']
12,['Decision Tree'],[24000],[34000],[0.6582787276242122],['0.6661424620515191']
13,['Decision Tree'],[26000],[36000],[0.6973128410611337],['0.668368917695063']
14,['Decision Tree'],[28000],[39644],[0.672995558455618],['0.6686773604124333']
