,Algorithm,Start,End,AUC,Avg AUC
0,['KNN'],[0],[10000],[0.5593423909521033],['0.5593423909521033']
1,['KNN'],[1000],[11000],[0.5964105324505028],['0.577876461701303']
2,['KNN'],[2000],[12000],[0.6025412233563675],['0.5860980489196579']
3,['KNN'],[3000],[13000],[0.5650438610558727],['0.5808345019537116']
4,['KNN'],[4000],[14000],[0.5654705470547055],['0.5777617109739104']
5,['KNN'],[5000],[15000],[0.5911082412011779],['0.5799861326784549']
6,['KNN'],[6000],[16000],[0.5688262626262626],['0.5783918655281417']
7,['KNN'],[7000],[17000],[0.566170493090012],['0.5768641939733755']
8,['KNN'],[8000],[18000],[0.6055541446883627],['0.5800519662750407']
9,['KNN'],[9000],[19000],[0.5886972402597401],['0.5809164936735106']
10,['KNN'],[10000],[20000],[0.5776651235312084],['0.5806209145696649']
11,['KNN'],[11000],[21000],[0.5506586614719853],['0.5781240601448583']
12,['KNN'],[12000],[22000],[0.5953776041666666],['0.5794512558388436']
13,['KNN'],[13000],[23000],[0.5739384182765104],['0.5790574817272484']
14,['KNN'],[14000],[24000],[0.5952179147012578],['0.5801348439255157']
15,['KNN'],[15000],[25000],[0.5749971104946834],['0.5798137355860887']
16,['KNN'],[16000],[26000],[0.6021644656513077],['0.5811284844134545']
17,['KNN'],[17000],[27000],[0.5936872844387295],['0.5818261955259698']
18,['KNN'],[18000],[28000],[0.6299979091610911],['0.5843615488751868']
19,['KNN'],[19000],[29000],[0.5731731085476228],['0.5838021268588085']
20,['KNN'],[20000],[30000],[0.5945113014427458],['0.5843120875532817']
21,['KNN'],[21000],[31000],[0.6295120721931551],['0.5863666323096396']
22,['KNN'],[22000],[32000],[0.6297537935885841],['0.5882530306261154']
23,['KNN'],[23000],[33000],[0.6161805700187443],['0.5894166781008083']
24,['KNN'],[24000],[34000],[0.6072396158963753],['0.590129595612631']
25,['KNN'],[25000],[35000],[0.621240696189014],['0.5913261764040304']
26,['KNN'],[26000],[36000],[0.6083273237179487],['0.5919558485267681']
27,['KNN'],[27000],[37000],[0.6192793787582366],['0.5929316888921777']
28,['KNN'],[28000],[38000],[0.6041414776811972],['0.5933182333331783']
29,['KNN'],[29000],[39644],[0.551879288300686],['0.5919369351654286']
