,Algorithm,Start,End,AUC,Avg AUC
0,['KNN'],[0],[10000],[0.5702712825184736],['0.5702712825184736']
1,['KNN'],[2000],[12000],[0.5776074616788777],['0.5739393720986756']
2,['KNN'],[4000],[14000],[0.5748615241998536],['0.5742467561324016']
3,['KNN'],[6000],[16000],[0.5641107933513543],['0.5717127654371398']
4,['KNN'],[8000],[18000],[0.597275727671257],['0.5768253578839632']
5,['KNN'],[10000],[20000],[0.5585101764600731],['0.5737728276466482']
6,['KNN'],[12000],[22000],[0.5941161125319694],['0.5766790112016941']
7,['KNN'],[14000],[24000],[0.5808017436985152],['0.5771943527637967']
8,['KNN'],[16000],[26000],[0.5988907147490623],['0.5796050596510485']
9,['KNN'],[18000],[28000],[0.5975235995481486],['0.5813969136407585']
10,['KNN'],[20000],[30000],[0.6137721824054029],['0.5843401198920898']
11,['KNN'],[22000],[32000],[0.6220592751305125],['0.587483382828625']
12,['KNN'],[24000],[34000],[0.6123215585850218],['0.5893940117329632']
13,['KNN'],[26000],[36000],[0.6102093426107632],['0.5908808210813775']
14,['KNN'],[28000],[39644],[0.5803645180664823],['0.5901797342137178']
