,Algorithm,Start,End,AUC,Avg AUC
0,['Random forest'],[0],[10000],[0.691765506513708],['0.691765506513708']
1,['Random forest'],[1000],[11000],[0.7476040536821486],['0.7196847800979282']
2,['Random forest'],[2000],[12000],[0.7261592756052961],['0.721842945267051']
3,['Random forest'],[3000],[13000],[0.685074411443967],['0.71265081181128']
4,['Random forest'],[4000],[14000],[0.7081308130813081],['0.7117468120652857']
5,['Random forest'],[5000],[15000],[0.7061748660261671],['0.7108181543920992']
6,['Random forest'],[6000],[16000],[0.7181939393939393],['0.7118718379637905']
7,['Random forest'],[7000],[17000],[0.7055235852645659],['0.7110783063763875']
8,['Random forest'],[8000],[18000],[0.7165392029109197],['0.7116850726580021']
9,['Random forest'],[9000],[19000],[0.7313717532467532],['0.7136537407168773']
10,['Random forest'],[10000],[20000],[0.6809004838372636],['0.7106761719096396']
11,['Random forest'],[11000],[21000],[0.6767825512561059],['0.7078517035218451']
12,['Random forest'],[12000],[22000],[0.7397653015010353],['0.7103065956740906']
13,['Random forest'],[13000],[23000],[0.7216842210352916],['0.7111192831998906']
14,['Random forest'],[14000],[24000],[0.725076159591195],['0.7120497416259776']
15,['Random forest'],[15000],[25000],[0.7206426259824318],['0.712586796898256']
16,['Random forest'],[16000],[26000],[0.7583502024291499],['0.715278761929485']
17,['Random forest'],[17000],[27000],[0.7647162502653833],['0.7180252890592571']
18,['Random forest'],[18000],[28000],[0.7662401891405044],['0.7205629153793227']
19,['Random forest'],[19000],[29000],[0.707827301556365],['0.7199261346881749']
20,['Random forest'],[20000],[30000],[0.7186705696698108],['0.7198663458777766']
21,['Random forest'],[21000],[31000],[0.7475399606393702],['0.721124237457849']
22,['Random forest'],[22000],[32000],[0.7778554919103607],['0.7235908137383931']
23,['Random forest'],[23000],[33000],[0.7630769477242505],['0.7252360693211372']
24,['Random forest'],[24000],[34000],[0.687519036855352],['0.7237273880225058']
25,['Random forest'],[25000],[35000],[0.7293946024799417],['0.7239453578093303']
26,['Random forest'],[26000],[36000],[0.7378605769230769],['0.7244607362950246']
27,['Random forest'],[27000],[37000],[0.7353081203915968],['0.7248481428699022']
28,['Random forest'],[28000],[38000],[0.7297603097836742],['0.7250175279358944']
29,['Random forest'],[29000],[39644],[0.7075903532144565],['0.7244366221118465']
