,Algorithm,Start,End,AUC,Avg AUC
0,['Random forest'],[0],[10000],[0.7188986739548537],['0.7188986739548537']
1,['Random forest'],[2000],[12000],[0.7054267210122277],['0.7121626974835407']
2,['Random forest'],[4000],[14000],[0.7058126299540199],['0.7100460083070338']
3,['Random forest'],[6000],[16000],[0.7115863109498539],['0.7104310839677388']
4,['Random forest'],[8000],[18000],[0.7235080058970842],['0.713046468353608']
5,['Random forest'],[10000],[20000],[0.6732470185653362],['0.7064132267222293']
6,['Random forest'],[12000],[22000],[0.7275416879795397],['0.7094315783304165']
7,['Random forest'],[14000],[24000],[0.720967131981782],['0.7108735225368371']
8,['Random forest'],[16000],[26000],[0.7621333087360224],['0.7165690543367466']
9,['Random forest'],[18000],[28000],[0.7358788844235411],['0.718500037345426']
10,['Random forest'],[20000],[30000],[0.7346898741841889],['0.7199718406944045']
11,['Random forest'],[22000],[32000],[0.7703456298870374],['0.7241696564604571']
12,['Random forest'],[24000],[34000],[0.7088649544324771],['0.7229923716890739']
13,['Random forest'],[26000],[36000],[0.736942230886316],['0.7239887902031626']
14,['Random forest'],[28000],[39644],[0.7169972490601573],['0.7235226874602956']
