,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['XGBoost'],[100],[0.01],[2],[0],['0.6912349851454342']
1,['XGBoost'],[100],[0.01],[3],[0],['0.7014976377199297']
2,['XGBoost'],[100],[0.01],[4],[0],['0.7077368148597878']
3,['XGBoost'],[100],[0.01],[5],[0],['0.7129394189708307']
4,['XGBoost'],[100],[0.01],[6],[0],['0.7176280322700459']
5,['XGBoost'],[200],[0.01],[2],[0],['0.7023775851246586']
6,['XGBoost'],[200],[0.01],[3],[0],['0.7128825288220939']
7,['XGBoost'],[200],[0.01],[4],[0],['0.7189071569142593']
8,['XGBoost'],[200],[0.01],[5],[0],['0.7230897512346386']
9,['XGBoost'],[200],[0.01],[6],[0],['0.7266700607061811']
10,['XGBoost'],[500],[0.01],[2],[0],['0.7175368059995033']
11,['XGBoost'],[500],[0.01],[3],[0],['0.726706159942169']
12,['XGBoost'],[500],[0.01],[4],[0],['0.7316726963078626']
13,['XGBoost'],[500],[0.01],[5],[0],['0.734193091348933']
14,['XGBoost'],[500],[0.01],[6],[0],['0.7362430497227083']
15,['XGBoost'],[1000],[0.01],[2],[0],['0.7259714444760074']
16,['XGBoost'],[1000],[0.01],[3],[0],['0.7329298116505202']
17,['XGBoost'],[1000],[0.01],[4],[0],['0.7367978323024971']
18,['XGBoost'],[1000],[0.01],[5],[0],['0.7383619562707997']
19,['XGBoost'],[1000],[0.01],[6],[0],['0.7388573738875408']
20,['XGBoost'],[100],[0.1],[2],[0],['0.725804696413831']
21,['XGBoost'],[100],[0.1],[3],[0],['0.732680575649143']
22,['XGBoost'],[100],[0.1],[4],[0],['0.7353307154454533']
23,['XGBoost'],[100],[0.1],[5],[0],['0.7371472799962483']
24,['XGBoost'],[100],[0.1],[6],[0],['0.7374196300612881']
25,['XGBoost'],[200],[0.1],[2],[0],['0.7315105760034916']
26,['XGBoost'],[200],[0.1],[3],[0],['0.7368584679993725']
27,['XGBoost'],[200],[0.1],[4],[0],['0.7378419607002409']
28,['XGBoost'],[200],[0.1],[5],[0],['0.7372936727157015']
29,['XGBoost'],[200],[0.1],[6],[0],['0.7365489461360084']
30,['XGBoost'],[500],[0.1],[2],[0],['0.7359959506223424']
31,['XGBoost'],[500],[0.1],[3],[0],['0.7390036405994846']
32,['XGBoost'],[500],[0.1],[4],[0],['0.7368457981841929']
33,['XGBoost'],[500],[0.1],[5],[0],['0.7345449529982806']
34,['XGBoost'],[500],[0.1],[6],[0],['0.7319102189523254']
35,['XGBoost'],[1000],[0.1],[2],[0],['0.7371852123351488']
36,['XGBoost'],[1000],[0.1],[3],[0],['0.7373386132207853']
37,['XGBoost'],[1000],[0.1],[4],[0],['0.7327409762194138']
38,['XGBoost'],[1000],[0.1],[5],[0],['0.7301959169455757']
39,['XGBoost'],[1000],[0.1],[6],[0],['0.7277254397787152']
40,['XGBoost'],[100],[0.3],[2],[0],['0.7330849427677808']
41,['XGBoost'],[100],[0.3],[3],[0],['0.7350176916259108']
42,['XGBoost'],[100],[0.3],[4],[0],['0.7326825790017717']
43,['XGBoost'],[100],[0.3],[5],[0],['0.7272201038712758']
44,['XGBoost'],[100],[0.3],[6],[0],['0.7234704700779562']
45,['XGBoost'],[200],[0.3],[2],[0],['0.7354272295298239']
46,['XGBoost'],[200],[0.3],[3],[0],['0.7344723015482213']
47,['XGBoost'],[200],[0.3],[4],[0],['0.7285466384148817']
48,['XGBoost'],[200],[0.3],[5],[0],['0.7215971052888367']
49,['XGBoost'],[200],[0.3],[6],[0],['0.7169002640750985']
50,['XGBoost'],[500],[0.3],[2],[0],['0.7346228526363291']
51,['XGBoost'],[500],[0.3],[3],[0],['0.7276991162154509']
52,['XGBoost'],[500],[0.3],[4],[0],['0.7183884517393886']
53,['XGBoost'],[500],[0.3],[5],[0],['0.7121868581911683']
54,['XGBoost'],[500],[0.3],[6],[0],['0.7103259578130242']
55,['XGBoost'],[1000],[0.3],[2],[0],['0.731450901852554']
56,['XGBoost'],[1000],[0.3],[3],[0],['0.7205444988226002']
57,['XGBoost'],[1000],[0.3],[4],[0],['0.7099172997924668']
58,['XGBoost'],[1000],[0.3],[5],[0],['0.7085278576463814']
59,['XGBoost'],[1000],[0.3],[6],[0],['0.7115609426382133']
