,Algorithm,Start,End,AUC,Avg AUC
0,['XGBoost'],[0],[10000],[0.7031482921770692],['0.7031482921770692']
1,['XGBoost'],[1000],[11000],[0.7403595538359424],['0.7217539230065058']
2,['XGBoost'],[2000],[12000],[0.7236824731212913],['0.7223967730447676']
3,['XGBoost'],[3000],[13000],[0.6853470395791905],['0.7131343396783734']
4,['XGBoost'],[4000],[14000],[0.7237883788378838],['0.7152651475102754']
5,['XGBoost'],[5000],[15000],[0.7162812404448092],['0.7154344963326977']
6,['XGBoost'],[6000],[16000],[0.7161212121212122],['0.7155325985881998']
7,['XGBoost'],[7000],[17000],[0.7023959697410207],['0.7138905199823025']
8,['XGBoost'],[8000],[18000],[0.6996448777888336],['0.7123076708496948']
9,['XGBoost'],[9000],[19000],[0.7363352272727273],['0.7147104264919981']
10,['XGBoost'],[10000],[20000],[0.6819493337191173],['0.7117321453308271']
11,['XGBoost'],[11000],[21000],[0.6881971061810257],['0.7097708920683438']
12,['XGBoost'],[12000],[22000],[0.753991168478261],['0.7131724517921836']
13,['XGBoost'],[13000],[23000],[0.7294755320388027],['0.714336957524085']
14,['XGBoost'],[14000],[24000],[0.7312671973270439],['0.7154656401776156']
15,['XGBoost'],[15000],[25000],[0.7353460801796448],['0.7167081676777424']
16,['XGBoost'],[16000],[26000],[0.7427141571878415],['0.7182379317665717']
17,['XGBoost'],[17000],[27000],[0.7675683687244381],['0.7209785115975643']
18,['XGBoost'],[18000],[28000],[0.7749935666495111],['0.7238214092318773']
19,['XGBoost'],[19000],[29000],[0.7123425058571782],['0.7232474640631423']
20,['XGBoost'],[20000],[30000],[0.7127959877770148],['0.722749774716184']
21,['XGBoost'],[21000],[31000],[0.7449599193587098],['0.7237593267453897']
22,['XGBoost'],[22000],[32000],[0.7755642648980002],['0.7260117153607205']
23,['XGBoost'],[23000],[33000],[0.7683878306284946],['0.7277773868302111']
24,['XGBoost'],[24000],[34000],[0.6743415251927732],['0.7256399523647136']
25,['XGBoost'],[25000],[35000],[0.7354836369790975],['0.726018555619113']
26,['XGBoost'],[26000],[36000],[0.7327163461538461],['0.7262666219352142']
27,['XGBoost'],[27000],[37000],[0.7285147888986242],['0.7263469136124788']
28,['XGBoost'],[28000],[38000],[0.7130783935690478],['0.7258893784385675']
29,['XGBoost'],[29000],[39644],[0.7209615553538489],['0.7257251176690769']
