,Algorithm,Start,End,AUC,Avg AUC
0,['XGBoost'],[0],[10000],[0.7186081587205183],['0.7186081587205183']
1,['XGBoost'],[2000],[12000],[0.7038353629566653],['0.7112217608385918']
2,['XGBoost'],[4000],[14000],[0.7149435735515977],['0.7124623650762604']
3,['XGBoost'],[6000],[16000],[0.7068600949663038],['0.7110617975487712']
4,['XGBoost'],[8000],[18000],[0.7172087545230983],['0.7122911889436366']
5,['XGBoost'],[10000],[20000],[0.6834862994458489],['0.7074903740273387']
6,['XGBoost'],[12000],[22000],[0.7385340153452686],['0.7119251799299001']
7,['XGBoost'],[14000],[24000],[0.7254671648662424],['0.7136179280469429']
8,['XGBoost'],[16000],[26000],[0.7511056257325301],['0.717783227789786']
9,['XGBoost'],[18000],[28000],[0.7414291064627077],['0.7201478156570781']
10,['XGBoost'],[20000],[30000],[0.7293453794641294],['0.7209839578213555']
11,['XGBoost'],[22000],[32000],[0.7706957310662782],['0.7251266055917657']
12,['XGBoost'],[24000],[34000],[0.7004463859807688],['0.7232281271601505']
13,['XGBoost'],[26000],[36000],[0.7307477150842965],['0.7237652405833038']
14,['XGBoost'],[28000],[39644],[0.707212504541646],['0.7226617248471933']
